TimeStamp(s),FrameCounter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,EulerX,EulerY,EulerZ
0.01,1,0.046,-1.016,-0.012,0.572958,0.6302538000000001,-0.3437748,89.3528001,3.00229992,-58.03491582
0.02,2,0.036000000000000004,-1.012,-0.006999999999999999,1.5469866,1.0313244000000001,-0.572958,89.31842262,2.96219286,-58.03491582
0.03,3,0.027000000000000003,-1.005,-0.003,1.9480572,1.6615782,-0.6875496,89.33561136,2.96792244,-58.01772708
0.04,4,0.022000000000000002,-1.0,-0.001,1.8907614,2.0053530000000004,-0.6875496,89.35852968,2.9736520200000003,-57.99480876
0.05,5,0.02,-0.998,-0.002,1.3750992,2.1772404,-0.6302538000000001,89.37571842,2.9793816000000004,-57.97189044
0.060000000000000005,6,0.025,-0.996,-0.003,0.8594370000000001,2.291832,-0.5156622000000001,89.38144799999998,2.98511118,-57.94897212000001
0.06999999999999999,7,0.03,-1.0,-0.008,0.6302538000000001,2.4637194,-0.286479,89.32988178,2.94500412,-57.93178338
0.08,8,0.033,-1.005,-0.008,0.40107059999999994,2.6356068,-0.3437748,89.33561136,2.94500412,-57.90313548
0.09,9,0.031,-1.01,-0.008,0.286479,2.8074942000000003,-0.572958,89.34134094,2.9507337000000002,-57.87448758000001
0.09999999999999999,10,0.032,-1.015,-0.006999999999999999,0.3437748,2.8074942000000003,-0.7448454000000001,89.34707052,2.9564632800000004,-57.85156926
0.11,11,0.031,-1.018,-0.006999999999999999,0.5156622000000001,2.9793816000000004,-0.8594370000000001,89.3528001,2.96792244,-57.81719178
0.12,12,0.03,-1.018,-0.011000000000000001,0.8594370000000001,3.2658606,-0.6875496,89.30696345999998,2.93927454,-57.78854388
0.13,13,0.032,-1.013,-0.012,1.0886202,3.5523396000000003,-0.6302538000000001,89.3241522,2.94500412,-57.7541664
0.14,14,0.032,-1.005,-0.013000000000000001,1.3750992,3.8961144,-0.40107059999999994,89.33561136,2.9507337000000002,-57.71405934000001
